"","Analyte1","Analyte2","interaction_coeff","Pval","FDRadjPval","rsquared"
"ARL17P1__V__AM10","ARL17P1","AM10",-1.93546747263638,1.77301831430133e-08,0.0011999138508528,0.167436779601836
"GAPDHL6__V__AM10","GAPDHL6","AM10",-1.8844477977782,4.960855116451e-06,0.016494724135952,0.14074952857621
"CD38__V__AM10","CD38","AM10",-1.66739079087252,1.75934771804168e-08,0.0011999138508528,0.164797629647817
"CAMK1G__V__AM10","CAMK1G","AM10",-1.62779198331978,7.63716447922513e-08,0.00225952760558937,0.155287395315214
"LOC100130604__V__AM10","LOC100130604","AM10",-1.42019994897576,3.64737469047082e-05,0.0414825215025243,0.114085980294382
"FICD__V__AM10","FICD","AM10",-1.39768998059887,2.31997125144838e-05,0.0336947081280254,0.117140154395924
"PACAP__V__AM10","PACAP","AM10",-1.39754298735423,1.24988760309466e-05,0.0253863278085791,0.121118152567499
"LOC730202__V__AM10","LOC730202","AM10",-1.3650162646073,2.09323394976943e-05,0.0321714992405061,0.119708769923696
"MGC29506__V__AM10","MGC29506","AM10",-1.20527154237066,2.04659759996647e-08,0.00129372152927766,0.161232948003195
"TRIM32__V__AM101","TRIM32","AM101",-0.725267656464824,1.09345684349307e-07,0.00257147425942273,0.100757091339283
"FTSJ1__V__AM101","FTSJ1","AM101",-0.612820016896484,1.38441564627721e-08,0.00103585143033081,0.111996598534631
"UBE3C__V__AM101","UBE3C","AM101",-0.56310448863936,3.29257092755004e-08,0.00155528523903692,0.107483436039336
"RBM16__V__AM101","RBM16","AM101",-0.547354327910893,9.02732989772212e-08,0.00236644817076451,0.101153276587866
"IFI27__V__AM10","IFI27","AM10",-0.522028233925281,1.39082573663016e-05,0.0266504563931145,0.123139086504905
"LOC285407__V__AM105","LOC285407","AM105",-0.515522165984978,3.88001693069904e-07,0.0046450774341601,0.119881569513224
"FTSJ1__V__AM107","FTSJ1","AM107",-0.512804938087137,1.2324196159536e-06,0.0084690273089493,0.103552092718707
"TTL__V__AM105","TTL","AM105",-0.50345198065928,1.42655909389128e-06,0.00910698693690664,0.109411140347334
"ZBTB32__V__AM67","ZBTB32","AM67",-0.480185327221257,8.3229104480184e-06,0.021214771169294,0.102703862971428
"GLOD4__V__AM107","GLOD4","AM107",-0.474025694491019,2.91153344731758e-07,0.00403526069210161,0.111836192781096
"SOX9__V__AM96","SOX9","AM96",-0.473957001596915,7.0812794779467e-07,0.00621192264481038,0.122647501768411
"TSPYL1__V__AM107","TSPYL1","AM107",-0.442536477059839,8.10605363042564e-07,0.00672916568823769,0.105822086760671
"C13orf23__V__AM107","C13orf23","AM107",-0.439367003797714,1.09715917408187e-07,0.00257147425942273,0.119679745662281
"GART__V__AM105","GART","AM105",-0.437098109428145,6.15239986483819e-07,0.00578113852597413,0.115165626066187
"ACAD11__V__AM107","ACAD11","AM107",-0.435291434760444,2.02016363543326e-06,0.0107186652206474,0.100672173054043
"GNG3__V__AM40","GNG3","AM40",-0.432374312348959,3.89152634712087e-06,0.0146679713046435,0.100690995352995
"NCOA1__V__AM87","NCOA1","AM87",-0.430446178165035,5.92878552086648e-07,0.00569995616545408,0.10491463776924
"CR2__V__AM105","CR2","AM105",-0.426202112600969,3.20420045041143e-09,0.000499812805648091,0.160143148126053
"ZNF746__V__AM87","ZNF746","AM87",-0.419946809519802,1.45281831607553e-07,0.00285724746977757,0.113524494079492
"CDCA3__V__AM96","CDCA3","AM96",-0.419424721150938,1.24240584139215e-07,0.00274614730621583,0.128410401478169
"LARS__V__AM105","LARS","AM105",-0.41726208112421,2.63761774569105e-06,0.0122112862260875,0.106160680564001
"MELK__V__AM105","MELK","AM105",-0.413864972442497,2.65639093098711e-06,0.0122340392961968,0.113161545929194
"QRFP__V__AM96","QRFP","AM96",-0.412978549481633,1.91051048936262e-06,0.0104898589940438,0.115145335398906
"LOC653040__V__QI7372","LOC653040","QI7372",-0.411648016228048,1.12963317062404e-07,0.0026019119447433,0.138401863142891
"TMSB10__V__AM105","TMSB10","AM105",-0.408526897834074,9.43744642862303e-07,0.00729699238821613,0.111104154359206
"LOC285407__V__AM96","LOC285407","AM96",-0.40218935612828,3.73753989871991e-08,0.00161956315775039,0.135354836854609
"CCDC16__V__AM107","CCDC16","AM107",-0.392401741682601,8.30333689774221e-07,0.00679519143783417,0.106177189855601
"CENTG2__V__AM87","CENTG2","AM87",-0.389299291595032,2.08870581237734e-06,0.0108782363310647,0.10413950315605
"CDCA7__V__AM67","CDCA7","AM67",-0.38497193690726,1.70265224086355e-05,0.0291465266517978,0.100686783566028
"TSHZ2__V__AM87","TSHZ2","AM87",-0.38371786612741,2.63376019039129e-06,0.0122112862260875,0.106445593943593
"POMP__V__AM96","POMP","AM96",-0.381147974317457,8.84034745056533e-12,2.88062178945712e-05,0.181114447613925
"OR7G3__V__AM96","OR7G3","AM96",-0.378535668177994,1.86371905306688e-06,0.0103508911185967,0.11502419969461
"C10orf78__V__QI13143","C10orf78","QI13143",-0.37800370564594,2.34964804316503e-05,0.0338816997742479,0.128817414207624
"ZC3H14__V__AM45","ZC3H14","AM45",-0.37714815578566,4.31822850861791e-07,0.00489767803145714,0.114932579706465
"MRPS17__V__QI18460","MRPS17","QI18460",-0.37277319274676,9.86953469831098e-08,0.00246561474887959,0.160622139273116
"LOC100129426__V__AM105","LOC100129426","AM105",-0.371766351606415,3.43856878926252e-06,0.0138564086370238,0.112781716093406
"TMSB10__V__AM96","TMSB10","AM96",-0.37119582066208,3.47859142124782e-10,0.000139681539846076,0.165374007605959
"LOC642650__V__AM96","LOC642650","AM96",-0.370178095536187,3.7051290597588e-05,0.0417727351371034,0.101947597493535
"AGT__V__AM96","AGT","AM96",-0.362698524645332,3.29191493362036e-05,0.0394844216385283,0.101033051216472
"MRPS17__V__AM40","MRPS17","AM40",-0.361535076053703,4.8285646670991e-07,0.00518882814121022,0.113822586736141
"TOX2__V__AM105","TOX2","AM105",-0.359192393880131,2.02144257081957e-06,0.0107186652206474,0.11440788008716
"DOCK10__V__AM107","DOCK10","AM107",-0.357966827124091,1.63310773873355e-06,0.0096905184772114,0.101789332192493
"GNG3__V__AM96","GNG3","AM96",-0.357651950157251,2.44646119609824e-05,0.0345093143756026,0.102801178713603
"MRPL51__V__QI18460","MRPL51","QI18460",-0.357400935620084,3.93092868113241e-10,0.000147979662791404,0.19289944919798
"RELT__V__QI5113","RELT","QI5113",-0.356858591507725,2.56904112748956e-06,0.0120606649297337,0.115385445797471
"CCR9__V__AM67","CCR9","AM67",-0.350544700950847,1.76099384083595e-05,0.0295233628669471,0.109717536146204
"YARS2__V__AM96","YARS2","AM96",-0.348009429756426,5.37345547554389e-07,0.0054433172422254,0.122801350116883
"OR3A1__V__AM96","OR3A1","AM96",-0.346139168070408,2.58077493829585e-05,0.0353645141049944,0.103121263070355
"LOC645246__V__QI7372","LOC645246","QI7372",-0.344738129162308,1.56410968353699e-06,0.00955954952939816,0.124952218247334
"WDR63__V__AM35","WDR63","AM35",-0.344144710013095,2.41848264362107e-05,0.0343682674251801,0.11497002762433
"CNTNAP4__V__AM61","CNTNAP4","AM61",-0.343451194446638,5.25721755676277e-07,0.00539022208806752,0.137121225099022
"MRPL51__V__AM96","MRPL51","AM96",-0.342971981503923,9.27473776370359e-11,7.51510744507595e-05,0.168081210295258
"CR2__V__AM96","CR2","AM96",-0.342719279383176,4.39655980060429e-11,6.74527584840163e-05,0.173516646316957
"TMSB10__V__QI18460","TMSB10","QI18460",-0.342482234184626,1.30820858131047e-07,0.00278088344945778,0.150314317736955
"TMSB10__V__AM40","TMSB10","AM40",-0.342300021675753,2.37683440100532e-07,0.00369448637500098,0.1163707388443
"RNF145__V__AM107","RNF145","AM107",-0.341071890413789,2.84945687225527e-06,0.0126011978973764,0.10236591147266
"RBM26__V__AM107","RBM26","AM107",-0.340402573691882,1.79510548061641e-06,0.0101619065415563,0.10473242736594
"ZBTB32__V__AM96","ZBTB32","AM96",-0.335603072009412,3.21549148531152e-07,0.00424685985765373,0.123242803363539
"CR2__V__AM40","CR2","AM40",-0.334938391535544,5.99627801038337e-09,0.000676568595751897,0.14932665942592
"LOC285407__V__QI18460","LOC285407","QI18460",-0.333853592150458,2.92602066991581e-05,0.0375417832419063,0.124552629569809
"RELT__V__QI5313","RELT","QI5313",-0.333291027096878,1.55611946512649e-05,0.0280520148936314,0.102874649586803
"RELT__V__QI6027","RELT","QI6027",-0.329138650810626,6.29860771933814e-06,0.0185683358804478,0.124053470074704
"CCNB1__V__AM96","CCNB1","AM96",-0.328993323553161,8.971048810288e-06,0.0218674088902606,0.106215278902416
"EDG1__V__AM107","EDG1","AM107",-0.328548182490266,2.47108665649268e-06,0.0118219494224518,0.101317531162334
"ERRFI1__V__AM61","ERRFI1","AM61",-0.325787796291951,9.98962383063325e-08,0.00247134988187675,0.146362720677651
"HJURP__V__AM96","HJURP","AM96",-0.324215289133071,1.26903137622596e-05,0.0255663081992561,0.104134175923424
"CLIC4__V__AM96","CLIC4","AM96",-0.321985828640176,2.39159669497552e-05,0.0341702152425992,0.102929774283855
"POMP__V__AM40","POMP","AM40",-0.321948745566602,2.9252285201921e-07,0.0040411052457454,0.115396356476205
"GART__V__AM96","GART","AM96",-0.321410390347519,3.48981030722123e-07,0.00437912593824856,0.125161151576375
"CCNF__V__AM40","CCNF","AM40",-0.320025533165591,2.65143212420629e-07,0.00382958106809458,0.120402250995826
"MTHFD1L__V__AM96","MTHFD1L","AM96",-0.319650011467128,1.88423600620559e-06,0.0104024922155467,0.114607350447769
"PARP1__V__AM105","PARP1","AM105",-0.319172082999555,3.67957739133279e-06,0.0143170597325654,0.105108700659423
"WDR4__V__QI8234.1","WDR4","QI8234.1",-0.316310061304666,1.47454375742099e-06,0.00933417037565482,0.106138575807899
"MCM8__V__AM96","MCM8","AM96",-0.314379305708251,2.93556547729705e-05,0.0375861173984241,0.101653211336899
"BYSL__V__AM96","BYSL","AM96",-0.313137540562167,2.90367121032705e-07,0.00403526069210161,0.123414423093768
"ZBTB32__V__QI18460","ZBTB32","QI18460",-0.312296331221331,1.17099661157723e-05,0.0246585432724078,0.133958820347129
"LOC388160__V__QI6604","LOC388160","QI6604",-0.311309972105721,3.82167658653714e-06,0.0145475155120692,0.103704074873466
"PMS2__V__AM96","PMS2","AM96",-0.311185748824267,2.15370183935609e-05,0.0325636496596304,0.102833842352448
"ILF2__V__AM96","ILF2","AM96",-0.311022293205917,3.09327801684508e-06,0.0130912931478204,0.115621690627389
"NKTR__V__AM45","NKTR","AM45",-0.310450542495243,7.14274025335505e-07,0.00623057353187062,0.117190933216694
"RBM16__V__AM41","RBM16","AM41",-0.309961938793997,1.29780908368081e-06,0.00868068393778097,0.102162101934375
"HJURP__V__TF29","HJURP","TF29",-0.308280918329309,1.58500544456562e-05,0.0282826108241,0.107331860254582
"TBC1D7__V__AM96","TBC1D7","AM96",-0.307948357513915,1.07246499916084e-05,0.0236358022252309,0.105976643321725
"PTTG1__V__AM96","PTTG1","AM96",-0.306365891431216,1.94864961185823e-05,0.0310998798363721,0.102915234854901
"LOC441773__V__AM105","LOC441773","AM105",-0.305948725711083,8.18848086178084e-06,0.0210231703133774,0.108295647734924
"PNN__V__AM107","PNN","AM107",-0.305128276591428,2.78171216768428e-06,0.0124594800553016,0.101157037481526
"MRPS17__V__TF31","MRPS17","TF31",-0.305047877904884,8.15508388231702e-07,0.00672916568823769,0.173892958684589
"RHOT1__V__AM45","RHOT1","AM45",-0.30321509601624,1.81951825213449e-06,0.0102272161441814,0.105104134328594
"C16orf75__V__AM96","C16orf75","AM96",-0.302757187761518,5.45942499642347e-08,0.00194674978821104,0.132450292532855
"BZRPL1__V__QI7372","BZRPL1","QI7372",-0.302505328820813,2.23457801248608e-05,0.0331632993372062,0.103753172901145
"MID2__V__AM61","MID2","AM61",-0.302450410260513,1.24668763494557e-06,0.00852209088451226,0.132373787313521
"DNCL1__V__QI18460","DNCL1","QI18460",-0.301527089569826,1.36131268039346e-06,0.00893673064705157,0.138944371319197
"PSMA5__V__AM96","PSMA5","AM96",-0.300759703008902,3.52748044503357e-07,0.00441291446738281,0.12640772934458
"UBE2T__V__AM96","UBE2T","AM96",-0.300535429893835,2.00416009498587e-06,0.0106874236911539,0.112834227721739
"POMP__V__TF31","POMP","TF31",-0.299748578258578,2.5125163365653e-08,0.00136336696606325,0.191467186303953
"PPP1R14A__V__AM96","PPP1R14A","AM96",-0.29833030246102,8.89344886317987e-09,0.000805518313263336,0.142905621950617
"WDR4__V__AM96","WDR4","AM96",-0.297926693283844,1.20299516119985e-06,0.00834735721420248,0.11747102444833
"GOT1__V__AM96","GOT1","AM96",-0.297015067237831,5.26248900604446e-06,0.0169280048858162,0.109841106343136
"TOX2__V__AM40","TOX2","AM40",-0.296985074428299,8.17132377074979e-07,0.00672916568823769,0.114771373608662
"FKSG30__V__QI6604","FKSG30","QI6604",-0.296546524828436,5.09413469889852e-06,0.0166265041305619,0.100757087255444
"CDCA7__V__AM96","CDCA7","AM96",-0.296041619653282,5.36354807208131e-08,0.00194028171570401,0.132520222984495
"HIBCH__V__AM96","HIBCH","AM96",-0.294568126378344,1.66012231044473e-07,0.00302514524676177,0.126520245632049
"OR5T1__V__QI6604","OR5T1","QI6604",-0.294186209445912,3.97547175698058e-06,0.0147763268335791,0.100734176413855
"CTPS__V__AM96","CTPS","AM96",-0.29352231525023,6.13572386680469e-06,0.0183288541849435,0.108632809187529
"PSME2__V__AM105","PSME2","AM105",-0.293068755602571,1.28597636869364e-06,0.00863005671537139,0.11217644897411
"RELT__V__QI5046","RELT","QI5046",-0.292999735167296,4.66744519661968e-05,0.0463418787625141,0.131876160643793
"NTHL1__V__AM40","NTHL1","AM40",-0.292727287568263,2.7833089011387e-06,0.0124594800553016,0.107150728335375
"MGC45491__V__QI6604","MGC45491","QI6604",-0.292423720018152,2.27475631682341e-06,0.0113327531835838,0.10320567463547
"PSME2__V__AM96","PSME2","AM96",-0.292213186224242,9.56509715429095e-12,2.88062178945712e-05,0.18004855643761
"WDR4__V__QI7078","WDR4","QI7078",-0.292098359680882,3.13740043631576e-06,0.0131871399048252,0.123900349115743
"NT5C__V__AM96","NT5C","AM96",-0.290853720908829,1.85942173960269e-05,0.0303588471674027,0.107992186550919
"TIMELESS__V__AM40","TIMELESS","AM40",-0.290337355671754,4.76362563040727e-06,0.0161754719291621,0.104184989713233
"IFNA10__V__QI6604","IFNA10","QI6604",-0.290127523461437,2.44058786962303e-06,0.0117507068047851,0.103909051861733
"LOC645029__V__QI6604","LOC645029","QI6604",-0.289560956971137,5.61287711960926e-06,0.0175258930998278,0.10088642051576
"LOC645198__V__QI6604","LOC645198","QI6604",-0.288780822764667,2.28190996671172e-06,0.0113402528218137,0.104769172632798
"CDCA7__V__QI18460","CDCA7","QI18460",-0.28810909233943,9.07581831425351e-07,0.00715984471715807,0.156381256969479
"HIBCH__V__AM40","HIBCH","AM40",-0.286852197513659,4.41633767204318e-06,0.015558343430424,0.101154196285895
"BIRC5__V__AM96","BIRC5","AM96",-0.286679800251796,1.15789279180494e-06,0.00817609955010876,0.115097345633243
"C1QL1__V__QI6604","C1QL1","QI6604",-0.286286611351895,5.09764698932586e-06,0.0166327826436758,0.100567610861022
"BUB1__V__AM96","BUB1","AM96",-0.286114086955544,6.232537992014e-07,0.00584276816159856,0.118665741436981
"CCDC50__V__AM96","CCDC50","AM96",-0.285368211152909,2.46174511056329e-09,0.000430275189479546,0.149728521070724
"ANKRD37__V__AM96","ANKRD37","AM96",-0.282155933824684,4.86460350139571e-06,0.0163300825413154,0.108117735862366
"VPREB1__V__QI18460","VPREB1","QI18460",-0.280304354323134,1.57141960445363e-06,0.00956848257127045,0.170136012418867
"PPP1R16B__V__AM40","PPP1R16B","AM40",-0.280146130251515,3.56986722070139e-06,0.0140858190792829,0.101877122899091
"IGF2BP3__V__AM96","IGF2BP3","AM96",-0.279520592258022,1.67494283911246e-06,0.00983085066576733,0.112983138470908
"MRPL51__V__TF31","MRPL51","TF31",-0.279513631135846,3.72448956187507e-08,0.00161956315775039,0.190348563690472
"PRDX1__V__AM96","PRDX1","AM96",-0.279420689604164,8.8156336213798e-06,0.0217215265021449,0.109622146516067
"TARS__V__AM105","TARS","AM105",-0.279279757160913,7.2857470346787e-06,0.0199511131612672,0.104384685965868
"NPHP1__V__QI7309","NPHP1","QI7309",-0.279151553852349,3.74358880571424e-05,0.0419224603720902,0.150076548200532
"RAB30__V__QI18460","RAB30","QI18460",-0.279018684504663,5.13738812083201e-05,0.0483490131197739,0.125433386927385
"GGTLC1__V__AM96","GGTLC1","AM96",-0.278770317916533,3.20663739547751e-06,0.0133201373245626,0.109632242838113
"CACNA1A__V__AM96","CACNA1A","AM96",-0.278243057048652,1.20307992522886e-05,0.0249492802095454,0.10402892168792
"CHMP4A__V__AM96","CHMP4A","AM96",-0.278149848473115,2.03975602791495e-05,0.031787441833897,0.105224228125021
"LOC644877__V__AM96","LOC644877","AM96",-0.277962729279367,6.7778259044189e-06,0.0192726707981039,0.106277655699589
"PTTG1__V__TF31","PTTG1","TF31",-0.276935572657934,5.30061948513833e-05,0.0489560062549541,0.148960227508191
"MRPS17__V__TF29","MRPS17","TF29",-0.276897735883711,1.02201422759997e-05,0.0231594806756764,0.109537056011224
"RFC4__V__AM96","RFC4","AM96",-0.276378530791732,1.20330541921754e-06,0.00834735721420248,0.116099569368076
"DNAJC11__V__QI6604","DNAJC11","QI6604",-0.275694559308958,2.74952218282868e-06,0.0124147989393946,0.102370441431194
"TMSB10__V__TF31","TMSB10","TF31",-0.275692669850737,1.46850838098325e-06,0.00931725904516315,0.166751656550437
"MTA3__V__AM96","MTA3","AM96",-0.275395288676716,2.22915403412377e-05,0.0331445310281683,0.100307298438325
"NTHL1__V__AM96","NTHL1","AM96",-0.275255957675605,1.14994978097668e-06,0.00813868768321897,0.115400800512668
"LOC440396__V__QI6604","LOC440396","QI6604",-0.274430011033465,2.84491000624192e-10,0.000131811114462587,0.139533290452109
"ZBTB32__V__TF29","ZBTB32","TF29",-0.274167372271499,1.5169126058755e-05,0.027728858592515,0.109751537812456
"FLJ37512__V__AM5","FLJ37512","AM5",-0.273332172812688,2.70206364068528e-06,0.0123228292075208,0.101978083088925
"NUSAP1__V__AM40","NUSAP1","AM40",-0.272560232311173,5.86954698552372e-06,0.0179322445782017,0.102050070045614
"PPP1R3C__V__QI6027","PPP1R3C","QI6027",-0.272303001331059,4.74519744269021e-05,0.0466819757883038,0.112265799819731
"LOC441773__V__AM96","LOC441773","AM96",-0.272294702419256,3.28251419797022e-08,0.00155528523903692,0.135575774944038
"PLAC8__V__AM96","PLAC8","AM96",-0.272200469376589,5.2030452116821e-10,0.000169399733517472,0.158340214035999
"PRIM1__V__AM96","PRIM1","AM96",-0.271876793051176,1.118401105162e-05,0.0241273167127691,0.106080207081841
"PPP1R14A__V__TF31","PPP1R14A","TF31",-0.270433760018739,3.52806101707306e-08,0.00160378837355987,0.201975298988843
"KALRN__V__AM61","KALRN","AM61",-0.270280307844284,1.17643209559494e-05,0.0247037114897683,0.12011385332851
"KAT2A__V__AM96","KAT2A","AM96",-0.270126042512706,3.18160717873261e-06,0.0132756752818145,0.112892418124718
"TCF3__V__AM96","TCF3","AM96",-0.269996843908331,2.98924475291921e-07,0.00410599796130318,0.123523360938574
"WDR4__V__QI18460","WDR4","QI18460",-0.269556912388922,5.53496049483003e-05,0.049905117847546,0.120347795469374
"PMEPA1__V__AM96","PMEPA1","AM96",-0.26921823800348,1.02032596930161e-05,0.0231434111517882,0.104478276692918
"PSMC3__V__AM96","PSMC3","AM96",-0.268760273080379,1.32699548839374e-05,0.0260890966139248,0.105209903692502
"POLR3K__V__AM96","POLR3K","AM96",-0.268489207298752,8.23581417050679e-06,0.02107498759254,0.107355026768102
"PSMA5__V__QI18460","PSMA5","QI18460",-0.268037277850851,3.3311625962449e-05,0.039727232081431,0.120363626640003
"HIBCH__V__QI18460","HIBCH","QI18460",-0.266990196272504,1.23670959805798e-05,0.0252610606504793,0.134696810265086
"PSME2__V__QI18460","PSME2","QI18460",-0.266987904440057,1.00716574115145e-08,0.000885599218848022,0.178517219717376
"LEAP2__V__QI6604","LEAP2","QI6604",-0.266332381444236,2.13614992073503e-07,0.00349157269624741,0.111232329204674
"OSBPL10__V__AM105","OSBPL10","AM105",-0.265059014376341,1.02875591896866e-05,0.0232510186814129,0.110715349162122
"RHBDL1__V__AM61","RHBDL1","AM61",-0.265027181033019,4.22234271973982e-05,0.0442802734113741,0.11322616653598
"ZC3HC1__V__AM96","ZC3HC1","AM96",-0.264818906981899,3.44250793537981e-05,0.0403302185534903,0.102407388561072
"TOX2__V__QI18460","TOX2","QI18460",-0.264795271987744,7.04628571204597e-06,0.0196347850103761,0.142610078153216
"LOC441773__V__AM40","LOC441773","AM40",-0.264453313014415,1.16668955178912e-06,0.00821253280558264,0.119608893037933
"DSTYK__V__QI6604","DSTYK","QI6604",-0.264440931753068,5.73143578081027e-08,0.00198538760801789,0.117495543843403
"LOC643493__V__TF09.1","LOC643493","TF09.1",-0.264107000214369,4.37581149567478e-05,0.0449362069970541,0.127050238134079
"SMUG1__V__TF31","SMUG1","TF31",-0.263932927732779,4.67019996514242e-05,0.0463418787625141,0.148381722679164
"PUS1__V__AM96","PUS1","AM96",-0.263768182299443,1.16695138398089e-05,0.0246357944797918,0.105493890124627
"ANKRD37__V__TF29","ANKRD37","TF29",-0.263279376765824,8.86757294614554e-06,0.0217768061972515,0.113443455128372
"NCAPG__V__AM96","NCAPG","AM96",-0.262877785862818,4.85499507697694e-07,0.0051986803942537,0.120720598177703
"LOC100130561__V__AM96","LOC100130561","AM96",-0.262308275049482,6.57814535754975e-06,0.0190230444534133,0.106373666502466
"ACSS1__V__AM40","ACSS1","AM40",-0.26161274473021,5.41445617592671e-07,0.00544900918163821,0.116023998466981
"MTA1__V__QI18460","MTA1","QI18460",-0.260761421819054,3.63308333628867e-05,0.0414028122853734,0.123830079428383
"GATA2__V__QI6515","GATA2","QI6515",-0.260591793204832,2.85393714476907e-05,0.0371150104431614,0.107202977683599
"CDCA7__V__TF31","CDCA7","TF31",-0.259939411115,4.97751487863225e-07,0.00523570686279473,0.182544402189899
"KIAA0753__V__QI6604","KIAA0753","QI6604",-0.259251770320694,2.60078045678183e-07,0.00381015385168925,0.111459102443801
"RBM16__V__QI8201","RBM16","QI8201",-0.258961560269481,2.07263388589709e-08,0.00129372152927766,0.12195995620568
"IGF2BP3__V__TF31","IGF2BP3","TF31",-0.258611731581329,2.97658574453021e-06,0.0128750832294003,0.171529973800608
"PHPT1__V__AM96","PHPT1","AM96",-0.258293145588861,5.40833547099021e-07,0.00544900918163821,0.120002699817975
"MRPL41__V__AM40","MRPL41","AM40",-0.258191604822358,1.99031025459997e-06,0.0106496914162462,0.1066661259341
"GATA2__V__QI6555","GATA2","QI6555",-0.258178652440113,6.75912349368562e-06,0.0192553025490434,0.139174991374541
"TSPYL1__V__QI8234.1","TSPYL1","QI8234.1",-0.257754286155651,4.43750626238462e-06,0.0155848169647565,0.102372923473314
"SNORD4A__V__QI18460","SNORD4A","QI18460",-0.257571981235363,1.20530718484546e-05,0.0249668383438563,0.137318433651643
"MRPL51__V__TF29","MRPL51","TF29",-0.257493651192758,5.84295181948654e-07,0.00565353129982658,0.126204587252131
"GRPEL1__V__QI6604","GRPEL1","QI6604",-0.257451492496306,1.07622108084521e-05,0.0236925744035833,0.100325688393654
"BTBD7__V__QI6604","BTBD7","QI6604",-0.256315878820128,4.56896760629165e-07,0.00503564103795246,0.10872399863416
"CCR9__V__QI18460","CCR9","QI18460",-0.255274541213631,1.79207365923456e-06,0.0101579838383167,0.165022137932677
"LOC440233__V__AM5","LOC440233","AM5",-0.255256962116897,1.61754293018184e-06,0.00966157611486283,0.100833485157357
"MRPL41__V__QI18460","MRPL41","QI18460",-0.254767743371207,1.49546937843223e-06,0.00937671953399275,0.148183998270645
"C22orf40__V__QI6604","C22orf40","QI6604",-0.254500895067346,3.63297859433847e-06,0.0142184112225782,0.101447757128184
"SLC7A5__V__QI9483","SLC7A5","QI9483",-0.25447054420721,3.80814261962826e-05,0.0422066092146273,0.137145266037952
"ADAT2__V__QI6604","ADAT2","QI6604",-0.254447378366607,1.73141692097403e-06,0.00998397313598486,0.102311279817608
"LIMS2__V__AM96","LIMS2","AM96",-0.253806341589475,8.68495921018696e-06,0.0216206801027437,0.104312237885516
"SOD1__V__AM96","SOD1","AM96",-0.253209781426104,1.69867148838863e-06,0.00989016681383894,0.117801167527336
"FKBP2__V__AM96","FKBP2","AM96",-0.25287064114996,1.3961433715371e-06,0.00902554618887381,0.114499028146856
"MRPL41__V__AM96","MRPL41","AM96",-0.2523710293915,2.64305877815841e-07,0.00382684033034881,0.124176135676397
"BZW2__V__AM96","BZW2","AM96",-0.251823957283561,3.13008344443628e-05,0.0386384848445463,0.101780258239275
"ANKRD37__V__TF31","ANKRD37","TF31",-0.251569995228291,1.87031995548063e-05,0.0304467565781925,0.158122156699478
"GATA2__V__QI5165","GATA2","QI5165",-0.25132683771213,1.08579223663486e-06,0.00791759961857831,0.148438534157493
"CD22__V__AM40","CD22","AM40",-0.249499419478024,8.7507708501467e-07,0.00699968001062132,0.119405484928385
"DNCL1__V__TF31","DNCL1","TF31",-0.249348675393758,5.84182790171279e-06,0.017888571516701,0.159845636843906
"PSMA5__V__TF29","PSMA5","TF29",-0.248658773207237,1.39039024961599e-05,0.0266504563931145,0.10616897015393
"LOC645317__V__TF31","LOC645317","TF31",-0.248647451500784,1.23072846885141e-05,0.0252182899445994,0.155296942523095
"LOC729123__V__AM96","LOC729123","AM96",-0.248566043506687,1.9617745913443e-05,0.0312183591755282,0.100378788628055
"PSME2__V__AM40","PSME2","AM40",-0.247841676297104,2.6062308252e-07,0.00381015385168925,0.117961149151863
"LOC644214__V__AM96","LOC644214","AM96",-0.247714892403704,1.67009614521181e-06,0.0098091790163461,0.11354130520896
"NTHL1__V__TF31","NTHL1","TF31",-0.247209498677585,4.3196080500621e-06,0.0153452298964823,0.167736165265248
"MYL6B__V__QI18460","MYL6B","QI18460",-0.247123358143311,4.62020222604983e-05,0.0461155864105933,0.126571607004993
"OR4N2__V__TF14.2","OR4N2","TF14.2",-0.247019954144973,3.13486099780181e-05,0.0386452838472289,0.220100663554492
"IPO9__V__AM96","IPO9","AM96",-0.246430752843922,4.03217477286268e-06,0.0148587157533544,0.109093642504622
"DLEU1__V__AM96","DLEU1","AM96",-0.245529093603702,1.05317944809498e-05,0.0234966290622015,0.102942628724129
"HMMR__V__AM96","HMMR","AM96",-0.245355564545152,5.00945481417364e-06,0.0165451841379947,0.106817006666045
"NUSAP1__V__TF31","NUSAP1","TF31",-0.244144877430781,2.29830318864238e-06,0.0113935193218203,0.171082028163726
"LAGE3__V__AM96","LAGE3","AM96",-0.243899651551207,4.49966674213216e-06,0.0156842394231539,0.109973660832094
"DENND5B__V__AM40","DENND5B","AM40",-0.243819028533322,2.25762288980933e-06,0.0112894152296905,0.120583170823818
"ZSWIM5__V__AM61","ZSWIM5","AM61",-0.24264964745769,3.86187229069182e-06,0.0145980116323774,0.125990809669652
"LOC644214__V__QI18460","LOC644214","QI18460",-0.242422448947961,1.42954315809993e-05,0.0269629027966416,0.136156033732171
"NDUFB10__V__TF31","NDUFB10","TF31",-0.241638501280123,3.97166289407517e-07,0.00472768697897553,0.175671626305594
"LOC643831__V__QI6604","LOC643831","QI6604",-0.241327820777782,1.30344461899089e-07,0.00278088344945778,0.11131297827582
"CXorf26__V__AM96","CXorf26","AM96",-0.24114664508116,4.57781197214933e-06,0.0158238448228281,0.110017486559615
"AEBP1__V__AM96","AEBP1","AM96",-0.241003248811557,1.7008172983064e-06,0.00989314586794333,0.11306556534244
