"","Analyte1","Analyte2","interaction_coeff","Pval","FDRadjPval","rsquared"
"STRAP__V__QI8226","STRAP","QI8226",-0.15048264615731,7.31114979025859e-06,0.0199621366952796,0.105050715135864
"MAP2K1__V__AM61","MAP2K1","AM61",-0.150104494624987,1.16632905298711e-05,0.0246319290111418,0.119842747124276
"MAGEA10__V__QI4568","MAGEA10","QI4568",-0.149500751934585,2.2865249552272e-05,0.0334525048190462,0.204705610028879
"GATA2__V__QI5118","GATA2","QI5118",-0.149020110902128,1.05468593405709e-05,0.0235106513319654,0.201533240002666
"CIRBP__V__QI6604","CIRBP","QI6604",-0.147899893067409,9.92058280297589e-07,0.00748285660095084,0.100552752297853
"DMXL2__V__AM61","DMXL2","AM61",-0.147876842811165,3.41301445352651e-05,0.0401665654130405,0.116185139411846
"DDX59__V__AM61","DDX59","AM61",-0.147097407805781,3.41947280174442e-05,0.0402032950666214,0.113768562061436
"CACNA2D3__V__AM61","CACNA2D3","AM61",-0.146535675458384,9.42888364444568e-07,0.00729699238821613,0.140821781159419
"RBM16__V__QI9958","RBM16","QI9958",-0.14652203387213,5.30405370631044e-05,0.048965199570123,0.112991706459593
"ITM2C__V__TF29","ITM2C","TF29",-0.146500733329008,7.30034265196675e-06,0.0199597730636724,0.130454164754599
"RAB6C__V__QI3968","RAB6C","QI3968",-0.145716737584429,3.7741342308842e-05,0.0420743410679114,0.192497813855136
"ITM2C__V__TF31","ITM2C","TF31",-0.144534302164012,8.23999807463453e-06,0.0210766822114016,0.175383878205468
"CD79B__V__TF31","CD79B","TF31",-0.144323655773118,5.76513493598978e-06,0.0177573644365349,0.16882040804039
"LOC653227__V__QI4568","LOC653227","QI4568",-0.14406116699343,1.92972419224169e-05,0.0309382488499432,0.205429330869043
"LOC100129550__V__AM61","LOC100129550","AM61",-0.1438711828498,3.46042161500611e-05,0.0404125849907418,0.113746935933098
"SLCO4C1__V__AM61","SLCO4C1","AM61",-0.142124175356614,2.95507343655706e-05,0.0376977244363653,0.117946043141293
"LOC728499__V__AM96","LOC728499","AM96",-0.141752679471727,1.63346797760999e-05,0.0286698029946938,0.100410286978719
"NBPF20__V__QI4568","NBPF20","QI4568",-0.140843930501411,3.56903318440545e-05,0.0410600310612392,0.202222543075681
"CTR9__V__QI8226","CTR9","QI8226",-0.140577869959796,6.08468131648805e-06,0.0183070598407672,0.123707745018557
"GATA2__V__QI6946","GATA2","QI6946",-0.14020980643266,4.42592068952068e-05,0.0451756972404623,0.184096162739826
