"Supplementary Table 7. Chromosome-specific precision and recall for chromatin states assigned using SOM-VN, CAGT, and magnitude-based modeling.",,,,,,,,
Sample,Method,Chromosome,Promoter Precision,Promoter Recall,Enhancer Precision,Enhancer Recall,Weak Precision,Weak Recall
,,16,0.77,0.11,0.17,0.24,0.77,0.77
,,17,0.74,0.02,0.19,0.21,0.57,0.75
,,18,0.49,0.22,0.22,0.32,0.94,0.91
,,19,0.81,0.02,0.25,0.16,0.34,0.89
,,20,0.71,0.09,0.31,0.25,0.81,0.91
,,21,0.45,0.16,0.26,0.33,0.91,0.9
,,22,0.42,0.09,0.35,0.24,0.67,0.83
,,Mean,0.63,0.13,0.25,0.28,0.83,0.89
,,Stdev,0.12,0.05,0.05,0.05,0.14,0.05
,CAGT,1,N/A,N/A,0.1,0.19,0.77,0.71
,,2,N/A,N/A,0.07,0.18,0.85,0.73
,,3,N/A,N/A,0.06,0.18,0.85,0.71
,,4,N/A,N/A,0.04,0.18,0.92,0.73
,,5,N/A,N/A,0.05,0.18,0.88,0.73
,,6,N/A,N/A,0.08,0.2,0.82,0.71
,,7,N/A,N/A,0.07,0.19,0.85,0.72
,,8,N/A,N/A,0.06,0.18,0.86,0.72
,,9,N/A,N/A,0.07,0.17,0.85,0.74
,,10,N/A,N/A,0.08,0.19,0.82,0.72
,,11,N/A,N/A,0.09,0.21,0.82,0.72
,,12,N/A,N/A,0.14,0.18,0.82,0.85
,,13,N/A,N/A,0.04,0.2,0.92,0.72
,,14,N/A,N/A,0.1,0.21,0.84,0.73
,,15,N/A,N/A,0.08,0.16,0.82,0.73
,,16,N/A,N/A,0.22,0.18,0.77,0.88
,,17,N/A,N/A,0.38,0.15,0.61,0.94
,,18,N/A,N/A,0.05,0.21,0.91,0.72
,,19,N/A,N/A,0.34,0.07,0.46,0.98
,,20,N/A,N/A,0.11,0.18,0.74,0.7
,,21,N/A,N/A,0.05,0.12,0.86,0.72
,,22,N/A,N/A,0.31,0.19,0.66,0.82
,,Mean,N/A,N/A,0.12,0.18,0.81,0.76
,,Stdev,N/A,N/A,0.1,0.03,0.11,0.08
,Magnitude,1,0.08,1,0,0,1,0
,,2,0.05,0.99,0.09,0,0,0
,,3,0.04,0.99,0,0,0,0
,,4,0.02,1,0.67,0,1,0
,,5,0.04,0.99,0,0,0,0
,,6,0.06,1,0,0,0,0
,,7,0.05,0.99,0.14,0,0,0
,,8,0.04,0.98,0.09,0,0,0
,,9,0.03,0.97,0,0,0,0
,,10,0.06,0.99,0.29,0,0,0
,,11,0.06,1,0,0,0,0
,,12,0.06,0.99,0,0,0,0
,,13,0.02,0.99,0,0,0,0
,,14,0.03,0.98,0.38,0,0,0
,,15,0.04,0.98,0,0,0,0
,,16,0.09,1,0.5,0,0,0
,,17,0.16,1,0,0,1,0
,,18,0.01,0.97,0.33,0,0,0
,,19,0.2,1,0,0,0,0
,,20,0.07,0.99,0,0,0,0
,,21,0.02,0.98,0,0,0,0
,,22,0.06,0.99,0,0,0,0
,,Mean,0.06,0.99,0.11,0,0.14,0
,,Stdev,0.05,0.01,0.19,0,0.35,0
,SOM-VN (RPKM > 5),1,0.81,0.12,0.25,0.25,0.85,0.91
,,2,0.71,0.17,0.28,0.33,0.91,0.92
,,3,0.74,0.18,0.25,0.32,0.91,0.92
,,4,0.79,0.16,0.17,0.3,0.94,0.92
,,5,0.81,0.18,0.23,0.34,0.93,0.92
,,6,0.88,0.13,0.2,0.24,0.89,0.92
,,7,0.82,0.16,0.25,0.33,0.91,0.92
,,8,0.69,0.15,0.24,0.31,0.92,0.92
,,9,0.77,0.19,0.29,0.35,0.9,0.91
,,10,0.78,0.11,0.24,0.28,0.89,0.91
,,11,0.75,0.12,0.23,0.27,0.88,0.92
,,12,0.84,0.1,0.12,0.22,0.85,0.8
,,13,0.74,0.17,0.17,0.26,0.94,0.92
,,14,0.8,0.15,0.27,0.31,0.88,0.91
,,15,0.8,0.15,0.29,0.29,0.87,0.92
,,16,0.84,0.12,0.14,0.21,0.79,0.78
,,17,0.77,0.04,0.2,0.22,0.65,0.76
,,18,0.8,0.19,0.22,0.32,0.93,0.92
,,19,0.88,0.02,0.27,0.15,0.42,0.89
,,20,0.82,0.11,0.27,0.23,0.83,0.92
,,21,0.7,0.13,0.24,0.29,0.9,0.91
,,22,0.75,0.08,0.28,0.21,0.66,0.85
,,Mean,0.79,0.13,0.23,0.27,0.85,0.89
,,Stdev,0.05,0.05,0.05,0.05,0.12,0.05
,,Difference,0.15,0.01,-0.01,-0.01,0.01,0.01
B-Cell (H),SOM-VN,1,0.59,0.3,0.46,0.87,0.96,0.81
,,2,0.52,0.4,0.45,0.9,0.97,0.58
,,3,0.57,0.46,0.43,0.9,0.98,0.6
,,4,0.5,0.42,0.19,0.89,0.6,0.01
,,5,0.49,0.46,0.38,0.88,0.97,0.28
,,6,0.57,0.32,0.46,0.9,0.98,0.82
,,7,0.5,0.38,0.41,0.91,0.98,0.58
,,8,0.5,0.43,0.42,0.9,0.96,0.26
,,9,0.55,0.48,0.46,0.89,0.97,0.58
,,10,0.5,0.35,0.46,0.9,0.97,0.71
,,11,0.62,0.33,0.48,0.87,0.97,0.86
,,12,0.66,0.35,0.46,0.89,0.98,0.84
,,13,0.49,0.39,0.22,0.88,0.71,0.01
,,14,0.59,0.44,0.5,0.9,0.98,0.77
,,15,0.57,0.39,0.47,0.89,0.96,0.71
,,16,0.67,0.3,0.5,0.88,0.97,0.86
,,17,0.7,0.12,0.44,0.79,0.89,0.85
,,18,0.56,0.41,0.33,0.91,0.96,0.07
,,19,0.74,0.02,0.38,0.74,0.77,0.72
,,20,0.6,0.35,0.54,0.87,0.96,0.82
,,21,0.56,0.43,0.39,0.9,0.94,0.15
,,22,0.69,0.3,0.55,0.89,0.93,0.72
