"","Analyte1","Analyte2","interaction_coeff","Pval","FDRadjPval","rsquared"
"LOC100132442__V__TF26.2","LOC100132442","TF26.2",-0.115280934869151,3.53365515484449e-05,0.00510968707128449,0.106200378581119
"LOC642464__V__QI3592","LOC642464","QI3592",-0.115279982439025,0.000557301021894727,0.0257021934845077,0.134639666243063
"FAM90A18__V__QI7557","FAM90A18","QI7557",-0.115278936630052,0.000311494102371834,0.0184438910803023,0.109232063231742
"LOC100130880__V__QI6339","LOC100130880","QI6339",-0.115269694364763,0.000968793735043191,0.0351723443205091,0.107032384665522
"C14orf100__V__QI4868","C14orf100","QI4868",-0.115265926513022,0.00108263949427845,0.037434220962419,0.12189987117452
"TUBA8__V__QI6372","TUBA8","QI6372",-0.115243712345582,0.000938512897477831,0.0345401762984913,0.107686042471945
"OR1A1__V__QI5118","OR1A1","QI5118",-0.115225694003144,0.00163345229147351,0.0471110057973179,0.112279519644395
"LOC285205__V__QI6339","LOC285205","QI6339",-0.115220311403096,0.000904267116028765,0.0338340362254758,0.108533977873234
"CHFR__V__QI4833","CHFR","QI4833",-0.115218691553682,0.000471663280291205,0.0233793590851285,0.103539915870621
"SOX18__V__QI6339","SOX18","QI6339",-0.115217595638956,0.00170232463628226,0.0481981410454672,0.107049054777638
"LOC340096__V__QI3592","LOC340096","QI3592",-0.115217354681219,0.00124337978833999,0.0404565864383875,0.132108670375923
"LOC645971__V__QI6372","LOC645971","QI6372",-0.11519504613161,0.00138884359010527,0.0430330183693116,0.107152908071801
"SPEM1__V__QI6339","SPEM1","QI6339",-0.115190719118071,0.000486621391029946,0.023797143720764,0.110798848889775
"ZNRF4__V__QI6339","ZNRF4","QI6339",-0.115156558009641,0.00146795774474921,0.044385514787201,0.106690161901826
"LOC649458__V__QI6604","LOC649458","QI6604",-0.115109375601226,0.00160219600759546,0.0466087733262473,0.180394055091357
"LOC653081__V__QI3592","LOC653081","QI3592",-0.115071204138508,0.000796700892118075,0.0315014268686626,0.133541818651218
"LOC653288__V__AM19","LOC653288","AM19",-0.115058042815401,7.16480857039446e-05,0.00781000966481858,0.111412195817025
"ZBTB47__V__TF22","ZBTB47","TF22",-0.115055979285167,0.000829524564147115,0.032224985827675,0.10247363561913
"MYO15A__V__QI6188","MYO15A","QI6188",-0.115045629844895,0.00118655897619363,0.0394067919930946,0.161113092104091
"ZNF799__V__QI3592","ZNF799","QI3592",-0.11503032855221,0.000318559896373005,0.0186827656506916,0.135876103459453
"LOC646168__V__AM19","LOC646168","AM19",-0.115023912739696,0.000528784818252869,0.0249477886017938,0.108219053616572
"KCTD19__V__AM19","KCTD19","AM19",-0.115022157835644,0.000801947004107867,0.0316159339145208,0.10793282689201
"CBWD2__V__AM19","CBWD2","AM19",-0.115020775574364,0.000642087494580485,0.0278669897534184,0.107723380013135
"CDH4__V__TF22","CDH4","TF22",-0.115015745021232,0.000664996837179159,0.0284306179198876,0.102758310247805
"LOC642782__V__QI6188","LOC642782","QI6188",-0.115015733904628,0.000616731766092703,0.0272459192963349,0.162551668140423
"GJB7__V__AM19","GJB7","AM19",-0.115010654016151,0.00033049702008938,0.0190827689619594,0.10958463820922
"FAM181B__V__TF22","FAM181B","TF22",-0.114999340740634,0.000812520690150068,0.0318513102514326,0.102074970791973
"LOC133185__V__AM19","LOC133185","AM19",-0.114965788356123,0.000269597856262998,0.0169887970691038,0.1109042516917
"MOSC2__V__QI6339","MOSC2","QI6339",-0.114964623441002,0.00127748490416154,0.0410736377979564,0.10693457040165
"OR51A7__V__QI6372","OR51A7","QI6372",-0.114963266719746,0.000822631567625837,0.0320668245069121,0.107714802296799
"C9orf100__V__QI6339","C9orf100","QI6339",-0.114957405161853,0.000350461510026878,0.0197412994204028,0.110140459720102
"LOC728657__V__QI6188","LOC728657","QI6188",-0.114945532598957,0.00141850150049853,0.0435499370588382,0.162801698116312
"SNORD4B__V__QI4133","SNORD4B","QI4133",-0.11493635689178,0.000371872565213755,0.020428110497055,0.14292421563206
"LOC100129149__V__AM19","LOC100129149","AM19",-0.114920356584047,0.00037240101585264,0.0204456152610917,0.108151325053032
"CSN1S2A__V__AM19","CSN1S2A","AM19",-0.114916364856208,0.00110669161469707,0.0379027176494313,0.107583948400207
"PLEKHA4__V__QI6188","PLEKHA4","QI6188",-0.114915233620586,0.00131003132514078,0.0416589690833164,0.162797044606065
"LOC100134687__V__QI4833","LOC100134687","QI4833",-0.114901532592618,0.000346817356938273,0.0196212619668381,0.102950344146566
"LOC644916__V__QI6188","LOC644916","QI6188",-0.114893197805968,0.00129105360250377,0.0413142228600678,0.161021732831778
"FAM133A__V__QI6339","FAM133A","QI6339",-0.114892768709885,0.0006672736203631,0.0284861163622025,0.108792067521727
"LOC641784__V__QI6188","LOC641784","QI6188",-0.114889864873491,0.00086914818064242,0.0330865178056056,0.161311370813125
"KHDRBS3__V__QI6163","KHDRBS3","QI6163",-0.114877589668227,0.00139505046483618,0.0431423327967844,0.14255214967917
"FDPSL2A__V__AM19","FDPSL2A","AM19",-0.114863734251633,0.00066818873233366,0.0285098477972107,0.108809268474964
"LPIN3__V__AM19","LPIN3","AM19",-0.114858394550647,0.000273834259810618,0.0171416775941018,0.109363500721996
"KDM3B__V__QI13747","KDM3B","QI13747",-0.114857756769952,0.000687390635178966,0.0289757512839856,0.100862078441535
"LOC645029__V__QI5268","LOC645029","QI5268",-0.114855564497148,0.000375836154526969,0.0205498178396158,0.10487547643655
"VCX__V__QI7352","VCX","QI7352",-0.114846802665406,0.000286357768823786,0.0175810754866037,0.100249679648402
"LOC642933__V__QI6372","LOC642933","QI6372",-0.11484367367189,0.000158018665824295,0.0124587120784991,0.112615981505325
"LOC147650__V__QI3391","LOC147650","QI3391",-0.11481003329973,1.05719282323308e-05,0.00243817537823491,0.102327013366912
"NRL__V__QI6372","NRL","QI6372",-0.114800418264014,0.00100502538350429,0.03591376644352,0.107197522813308
"CPLX2__V__QI3592","CPLX2","QI3592",-0.114792584413534,0.000379428899691341,0.0206583733812495,0.135581646173366
"LOC643175__V__QI6188","LOC643175","QI6188",-0.114787413274536,0.00177298351378257,0.0493031660323176,0.160480505303624
"FLJ22536__V__AM19","FLJ22536","AM19",-0.114776023074436,0.00174760936592818,0.0489041948619827,0.108576771007453
"CCDC78__V__QI6188","CCDC78","QI6188",-0.114764280100996,0.00148452688843453,0.0446681009561842,0.160922494424007
"LOC645504__V__QI3592","LOC645504","QI3592",-0.114757869597748,0.00139715411729499,0.0431822527606909,0.132086691333003
"LOC729792__V__QI6188","LOC729792","QI6188",-0.114752802232445,0.00154857270740797,0.0457354380536744,0.162382565023639
"AP1G2__V__QI6188","AP1G2","QI6188",-0.114726130150463,0.00165323914279102,0.0474219776409184,0.161833314167798
"TRIM49__V__QI6188","TRIM49","QI6188",-0.114721707884071,0.00086241747684877,0.0329367499879418,0.161477303696385
"LOC645529__V__QI6339","LOC645529","QI6339",-0.114710873109013,0.00110459988543639,0.0378626013975033,0.107141441799358
"ARD1B__V__QI4990","ARD1B","QI4990",-0.114695087170773,0.00091596921423246,0.034077094632941,0.147715215828346
"PRSS3__V__TF26.2","PRSS3","TF26.2",-0.114695025776471,3.59445599748208e-05,0.00516225832570473,0.105136620199821
"CNPY1__V__QI6188","CNPY1","QI6188",-0.114672516958069,0.00120074659604131,0.039667659488286,0.161500623965415
"KLRC3__V__QI3592","KLRC3","QI3592",-0.114669334793331,0.00132574532504095,0.041928103427063,0.13159791179791
"LOC100132025__V__TF22","LOC100132025","TF22",-0.114664559312815,0.000907746991165807,0.0339053090414051,0.103063541120414
"SIGLEC12__V__QI7557","SIGLEC12","QI7557",-0.114657119222154,9.28885519981608e-05,0.00911322060317956,0.11224306768601
"PNMT__V__AM19","PNMT","AM19",-0.11465175779644,0.00044034979009716,0.0224947604370736,0.108330473327406
"HHLA2__V__QI6188","HHLA2","QI6188",-0.11464161406409,0.00120862236870504,0.0398170272435395,0.16089130691103
"HERC2P4__V__TF19","HERC2P4","TF19",-0.114636324412888,0.00129161214376193,0.0413232396361491,0.108134120457205
"EFCAB7__V__AM19","EFCAB7","AM19",-0.114631053809117,0.000542184648998311,0.0253085643900042,0.109246074009648
"AFP__V__QI7334","AFP","QI7334",-0.114615668863572,0.000216764732832927,0.0149690278171853,0.100677246784811
"LOC392232__V__QI6339","LOC392232","QI6339",-0.114578822735403,0.0014791070424461,0.0445720944328046,0.107137169587995
"TPSD1__V__QI3375","TPSD1","QI3375",-0.114563443216587,0.00174960968887607,0.0489346145315611,0.119956213850493
"MR1__V__QI4868","MR1","QI4868",-0.11451714046214,0.00173064089490519,0.0486351432535622,0.119853872162633
"LOC100127930__V__QI6372","LOC100127930","QI6372",-0.11451500151583,0.00162387337953129,0.0469609477552565,0.107010877791183
"BTG4__V__QI6188","BTG4","QI6188",-0.114484218406595,0.00108780884150683,0.037536679360022,0.162620144392117
